,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
44,12/15/22 17:00,Conway,NH,USA,Disk,1 minute,"While driving I witnessed a large, saucer shaped craft with a domed top (like a stereotypical flying saucer)",12/22/22,
45,12/15/22 03:03,Somersworth,,USA,Disk,Every night at 2am,Every night around 2am I have been seeing things in the sky that kind of looks like drones but it's not they are larger.,12/22/22,Yes
46,12/14/22 20:30,Flower mound,TX,USA,Disk,7+ hours,Saw fast moving disk in sky as well an entities in the craft,12/22/22,
47,12/14/22 19:40,Greenwood,IN,USA,Triangle,3 minutes,"Three circular lights lined up in a triangular shape, then rotated clockwise",12/22/22,
48,12/14/22 19:30,Deerfield Beach,FL,USA,Fireball,A few seconds,Craft heading east to west,12/22/22,
49,12/14/22 06:33,Gilbert,AZ,USA,Unknown,seconds,Object streaked across sky with a green haze and green trail,12/22/22,
50,12/14/22 02:46,Calverton,NY,USA,Egg,20 seconds,Captured during long exposure photo session.,12/22/22,Yes
51,12/13/22 22:30,Buckeye,AZ,USA,Triangle,5 min,"Black triangle with glowing warm orange lights at each corner. Silent, moved across sky. Almost invisible, seemed to be very large.",12/22/22,Yes
52,12/13/22 21:55,Baltimore,MD,USA,Light,10 seconds,Turquoise light shooting fast in the sky then disappears,12/22/22,
53,12/13/22 21:25,Lakeville,MA,USA,Formation,slow decent for hours,"The object of focus last night was an object that has lights in in a pyramid grid, but the actual shape is difficult to confirm",12/22/22,Yes
54,12/13/22 20:47,Savannah,GA,USA,Light,5 seconds,"As we were standing on the ramp near the beach, my friend said, “What is that?” And for a few more seconds it flew extremely horizontal",12/22/22,
55,12/13/22 20:43,Richmond,VA,USA,Oval,1 or 2 seconds,Blue orb seen for 1-2 seconds at approximately 100 feet in altitude flying from east to west over the southern end of RIC.,12/22/22,
56,12/13/22 18:54,Bolton,Lancashire,United Kingdom,Circle,Less than a minute,Large bright pulsating circular object appeared in the sky out of nowhere,12/22/22,Yes
57,12/13/22 17:57,Hercules,CA,USA,Light,approx. 1 minute,Bright Red Light appearing to be low in the dark (night) sky,12/22/22,
58,12/13/22 12:07,Kent,OH,USA,Cross,40 seconds,"I thought at first this might be a plane making its way upwards, soon to see that it was remaining stationary.",12/22/22,
59,12/13/22 10:20,Lewistown,,USA,Circle,,it almost looked like a bright star but it was movie left and right up and down it was not a plane,12/22/22,
60,12/13/22 02:00,Phila,PA,USA,Light,10 min,Brilliant glowing trails of light,12/22/22,Yes
61,12/12/22 22:00,Harleysville,PA,,Changing,Throughout the night,Numerous big bright rapidly changing lights.,12/22/22,
62,12/12/22 22:00,Lower Hutt,Wellington Region,New Zealand,Cone,15 Min,Witnessed a strange white light flying over Lower Hutt. Possible Chinese Rocket.,12/22/22,Yes
63,12/12/22 21:00,Prince George - Vancouver,BC,Canada,Light,10 secs x 4 times,A bright white light suddenly appeared in the western sky at night.,12/22/22,
64,12/12/22 20:40,woodsville,NH,USA,Light,5 sec.,helicopter accompanied by two small lights,12/22/22,
65,12/12/22 19:10,Pagosa Springs,null,,Triangle,30 seconds,"Large, low-flying triangle with bright lights.",12/22/22,Yes
66,12/12/22 18:45,Belgium,WI,USA,Light,Approximately 4 minutes,Seven bluish white lights zigzagging in the sky at unexplainable speeds and directions. Beams going down to earth.,12/22/22,
67,12/11/22 20:30,Orkney,Orkney Islands,United Kingdom,Oval,30 MINUTES,I NOTICED A BLUE AND RED SHAPE FLASHING AND MOVING FROM SIDE TO SIDE.,12/22/22,
68,12/11/22 19:00,Homewood,IL,USA,Disk,5 to 10 minutes,Bright orange saucer shaped craft. Flying/hovering just inside the clouds.,12/22/22,
69,12/11/22 18:33,Bullhead City,AZ,USA,Circle,2 minutes,We saw three bright while lights. They appeared to be massive in size,12/22/22,Yes
70,12/11/22 16:05,Denver,CO,USA,Egg,15 minutes,Egg-shaped object popping in and out of sky at random locations,12/22/22,
71,12/11/22 05:56,Shenandoah,IA,USA,Changing,3-4 minutes,I first seen multiple lights…round in nature…and thought to myself am I really seeing this?! So I grabbed my phone and took pictures!,12/22/22,Yes
72,12/11/22 02:50,Port St. Lucie,FL,USA,Changing,5-10 minutes,"Bright light appeared, started to move and creates blue trail and everything goes dark and 2 orbs result. Then another shortly appears.",12/22/22,
73,12/10/22 20:40,Harrisburg/Camp Hill,PA,USA,Light,10+ minutes,3 rotating lights shining through clouds moving at a consistent speed and moving in a consistent pattern,12/22/22,
74,12/10/22 19:58,Blakeslee,null,,Sphere,3 minutes,Object was stationary and parallel with a star for several minutes. Then gained altitude in a linear fashion before moving west.,12/22/22,Yes
