,Date,City,State,Country,Shape,Duration,Summary,Posted,Images
322,7/11/22 22:03,Van Nuys,CA,USA,Cylinder,A minute or two,"Saw a lighted, cylindrical UAP, traversing the sky westward in a seemingly level, horizontal trajectory, while continually flipping.",9/9/22,Yes
323,7/11/22 19:30,Canon City,CO,USA,Cross,5 minutes,Ufo,12/22/22,
324,7/11/22 14:36,Bucharest,Bucharest,Romania,Circle,10-15s,"White orb of lighting, no sound, slow",9/9/22,
325,7/11/22 14:00,North Las Vegas,NV,USA,Sphere,1,Multiple lights seen mid-day (near area 51),12/22/22,
326,7/11/22 11:52,Snohomish,WA,USA,Circle,At least 3 minutes,Saw a roundish light object in the sky,12/22/22,Yes
327,7/11/22 08:45,St Clair Shores,MI,USA,Cigar,,"We saw a long tube/pill shaped object flying on an angle. It was clear it had no wings, propellers, and made no sound.",9/9/22,
328,7/11/22 02:23,"Washington, United Kingdom",United Kingdom,United Kingdom,Unknown,Unknown,I checked the flight radar application and there wasn't an aircraft where this object was.,9/9/22,
329,7/11/22 00:48,Blackpool,Lancashire,United Kingdom,Circle,3 minutes,2 UFO flying weirdly over Irish Sea in strange manoeuvre disappearing and reappearing,9/9/22,
330,7/10/22 23:40,Kameno,Burgas Province,Bulgaria,Triangle,10 minutes,Large flying triangle 1 large central orange light and 3 outer lights on each tip of various colours.,9/9/22,Yes
331,7/10/22 22:42,Smithtown,NY,USA,Circle,5-8 seconds,I witnessed what appeared to be a moving aircraft and noticed no beacon lights flashing then I thought it may have been a star,9/9/22,Yes
332,7/10/22 21:45,Dallas,PA,USA,Triangle,10 minutes,A triangle aircraft maneuvering in ways I've never seen in any military aircraft whatsoever,9/9/22,
333,7/10/22 21:34,Rutland,VT,USA,Circle,10 minutes,I was walking my 2 dogs & saw 3 round orange bright lights hovering close together. They hovered for 3 minutes before 2 disappeared,9/9/22,
334,7/10/22 21:34,Live Oak,CA,USA,Sphere,N/A,Above my apartment in my balcony.,9/9/22,
335,7/10/22 21:27,Friday Harbor,WA,USA,Cigar,10 minutes,Cigar shaped object moving slow from NE to SW,9/9/22,Yes
336,7/10/22 20:09,Concord,NH,USA,Cylinder,approx. 20-30 seconds,Travel West to East. Contrails. 3 heat signatures port side. No sonic boom/sub sonic.,9/9/22,Yes
337,7/10/22 15:44,Newcastle upon Tyne,null,,Oval,Around 30 minutes,UPA FOOTAGE FROM ENGLAND,9/9/22,Yes
338,7/10/22 14:30,"Alamosa, San Luis Valley",CO,USA,Sphere,NA,Took two sequential photos and a white sphere was observable in the first but not the second.,9/9/22,Yes
339,7/10/22 12:57,Alexandria,IN,USA,Cylinder,Approximately 20 seconds,"No wings, cylinder streaking across clear sky, comes to complete stop, then streaks 120 degrees straight up and out of sight.",9/9/22,
340,7/10/22 04:45,Rio grande,NJ,USA,Unknown,45 minutes,Hovering at about 2500 ft then ascended and disappeared,9/9/22,
341,7/10/22 01:34,Reading,Wokingham,United Kingdom,Light,,Outside my home,10/8/22,
342,7/10/22 00:34,Eugene,OR,USA,Fireball,At least 10 mins,Glowing orb like fireball hovering in the sky.,12/22/22,Yes
343,7/10/22 00:13,Wisconsin Dells,WI,USA,Light,Seconds,Flash of light traveled across sky,9/9/22,
344,7/10/22 00:10,Franklin,OH,USA,Circle,About 1 minute and 15 sec,"It was a glowing red orb with a tail, then it stopped and was a fuzzy red ball. There were no other colors.",9/9/22,
345,7/10/22 00:10,HAMBURG NY,NY,USA,Unknown,5 minutes,UFO SIGHTING 12:10 AM JULY 10TH NEAR ETERNAL FLAME FALLS.,9/9/22,
346,7/9/22 23:45,Red Lion,PA,USA,Light,1 minute,Very bright red static light slowly moving in a Southernly direction.,9/9/22,Yes
347,7/9/22 22:45,Kenosha,WI,USA,Circle,4mins,Very bright ball of light,9/9/22,
348,7/9/22 22:45,Louisville,KY,USA,Light,2 seconds,We saw it through our house it was a huge light there for only a few seconds and it was a crème color of light.,9/9/22,
349,7/9/22 22:00,Fond du lac,WI,USA,Oval,15 minutes,Seen 5 slow moving craft no sound red and spinning interior,9/9/22,
350,7/9/22 20:48,Roselle,IL,USA,Cylinder,2-3 minutes,Object on fire and then burnt out or disappeared before horizon line,9/9/22,
351,7/9/22 20:45,SAINT PAUL,MN,USA,Circle,10 minutes,Black donut shaped craft,9/9/22,Yes
